
Brown, Lilly Fire Tower, Bear Wallow (near Nashville), 
Brown, Weed Patch Tower *, Lilly Dickey Woods, 
Clark, Henryville Tower *, Clark State Forest (Coordinates: UTM - 16N, 603074, 4269100), 
Clark, Borden Tower, Borden, IN, 
Crawford, John Spears Tower, Taswell, IN (T2S, R1W, Sec 5) inc. latrine, 
Dubois, Ferdinand *, Ferdinand State Forest (Coordinates: UTM - 16N, 519325, 4236342), 
Floyd, Hickman Hill Tower, Lanesville, IN, 
Greene, Cincinnati Tower *, Cincinnati, IN, 
Harrison, Wyandotte Tower/Firetower 1942 *, O'Bannon Woods (Coordinates: UTM- 16N, 564055, 4228254), 
Jackson, Skyline Tower *, Jackson State Forest (Coordinates: UTM- 16N, 583690, 4299847), 
Jefferson, Five Points Tower, Lancaster, IN, 
Jennings, Muscatatuck Tower, (trying to determine location?), 
Lawrence, Georgia Tower, Mitchell, IN, 
Martin, Lacy Tower, Lacy, IN (near Shoals), 
Martin, Willow Valley Tower *, Martin State Forest (Coordinates: UTM - 16N, 523749, 4282891), 
Monroe, Mason Ridge *, Martinsville/Dickens area, Morgan Monroe State Forest (Coordinates: UTM - 16N, 549763, 4353470), 
Monroe, Salt Creek, SE of Bloomington (T8N, R1E, Sec 8), 
Morgan, Mason Ridge Tower, Morgan-Monroe State Forest, 
Morgan, Wilbur Tower, Martinsville, IN, 
Orange, Orange Fire Tower, Paoli, IN, 
Orange, Paoli Tower, South of Paoli (T1N, R1E, Sec 29 NWSW), 
Orange, Baker Tower, Southwest of French Lick (T1N, R2W, Sec 28), included a latrine., 
Owen, McCormick Tower *, McCormicks Creek State Park (Coordinates: UTM - 16N, 523344, 4348400), 
Owen, Cataract Tower, Cloverdale, IN, 
Perry, Bristow Tower, Bristow, IN (T4S, R3W, Sec 1), 
Pike, Hartwell Tower *, Pike State Forest (Coordinates: UTM - 16N, 486236, 4244631), 
Pulaski, Jasper-Pulaski Tower, Jasper-Pulaski Game Reserve, 
Pulaski, Winamac Tower *, Tippecanoe River State Park (Coordinates: UTM - 16N, 534222, 4551422), 
Ripley, Versailles Tower, Versailles, IN, 
Spencer, Lincoln City Tower *, Lincoln State Park (Coordinates: UTM - 16N, 500875, 4216559), 
Sullivan, Pleasantville Tower, Greene-Sullivan State Forest, 
Washington, Salem Tower *, Salem, IN, 
Wells, Ouabache Tower*, Bluffton, IN (Coordinates: UTM - 16N, 659909, 4509717), 
