Arizona Lookouts Total known Sites - 120 Last Update - 8/8/2011, 
Lookout Name, NF/Area, Status, Elev, Height, Type, Manufacturer, Con Year, 
McFadden **, Tonto NF, Active+, 7135, 10, R-6 flat, USDA-FS CL 100-, 1964, 
McKay Peak **, White Mtn Apache IR, Active+, 9171, 31.6, MC-24, Aermotor, 1932, 
Merrill Peak, Coronado NF, Former, 9288, 40, 7x7, Aermotor?, 1920, 
Mica Mountain **, Saguara Nat. Mon, Former, 8664, 99.9, 7x7, Aermotor MC-40, 1938, 
Miller Peak, Coronado NF, Former, 9466, 3, L-4 House, Forest Service, 1926, 
Mingus Mtn **, Prescott NF, Active*+, 7743, 59.3, 7x7, Pacific Coast Steel, 1935, 
Monte Vista **, Coronado NF, Active+, 9370, 41.3, R-6 flat, USDA-FS CL 100-, 1966, 
Moqui **, Coconino NF, Active+, 7476, 82.6, R-6 flat, USDA-FS CL 100-, 1952, 
Mormon Lake **, Coconino NF, Inactive+, 7977, 48, 7x7, Aermotor LX-24, 1927, 
Mt. Baldy **, Apache-Sitgreaves NF, Former, 11404, 1, Cab(6-, Forest Service, 1936, 
Mt. Bigelow **, Coronado NF, Inactive+, 8500, 53, R-6 flat, Army CL 100-106, 1958, 
Mt. Ord, Tonto NF, Active+, 7128, 102, R-6 flat, USDA-FS CL 100-, 1983, 
Mt. Union **, Prescott NF, Active+, 7978, 30, MC-24, Aermotor, 1933, 
Mt. Wrightson-Baldy, Coronado NF, Former, 9453, 4, D-6 cupola, Forest Service, 1921, 
Mt.Lemmon, Coronado NF, Former, 9140, 30, CN Wood, Forest Service, 1913, 
Munds Park, Coconino NF, Former, 6871, 0, Tree/stand, Forest Service, 1920's, 
North Rim, Grand Canyon NP, Inactive+, 9165, 75, 7x7, Aermotor LX-24, 1933, 
Oakridge, Navajo IR, Active+, 7528, 82.6, 7x7, International Derrick, 1941, 
Odart Mtn, White Mtn Apache IR, Active+, 8525, 82.6, 7x7, Aermotor MC-39, 1934, 
O'Haco, Apache-Sitgreaves NF, Semi-Active+, 7640, 99.9, 7x7, Aermotor LS-40k?, 1966, 
Old Summit, San Carlos IR, Former, 7520, 54, 7X7, Aermotor, 1969, 
O'leary, Coconino NF, Active+, 8916, 31.6, R-6 flat, USDA-FS CL 100-, 1959, 
Pat Knoll, Apache-Sitgreaves NF, Former, 9661, 38, Crow's Nest, Forest Service, 1914, 
Piney Hill, Navajo IR, Active+, 8102, 81, 7x7, Aermotor MC-39, 1930's, 
Promontory **, Apache-Sitgreaves NF, Active*+, 7931, 110.3, 7x7, Aermotor LS-40, 1924/38, 
PS Knoll, Apache-Sitgreaves NF, Inactive+, 8045, 45.9, 7x7, Aermotor MC-39, 1933, 
Red Butte **, Kalbab NF, Active+, 7324, 12, R-6 duel, USDA-FS CL 100-, 1980, 
Red Hill **, Kalbab NF, Inactive+, 7751, 10, R-6 duel, USDA-FS CL 100-, 1958, 
Red Mountain, Coronado NF, Semi-Active+, 6373, 10, Duel Cabin, Forest Service, 1973, 
Reno **, Apache-Sitgreaves NF, Active+, 9094, 54, R-6 flat, USDA-FS CL 100-, 1965, 
Roof Butte, Navajo IR, Active+, 9783, 15, Cabin, Navajo IR, 1960, 
Rose Peak **, Apache-Sitgreaves NF, Active+, 8786, 21.9, MC-24 D-1, Aermotor, 1929/81, 
Round Mtn, Kalbab NF, Inactive+, 7214, 35, 7x7, Aermotor MC-39, 1955-60, 
Round Top Mtn, White Mtn Apache IR, Former, 7189, 30, MC-24, Aermotor, 1938, 
Saddle Mtn, Coconino NF, Former, 8880, 31.6, 7x7, Aermotor MC-39, 1951, 
Sentinel Peak **, Coronado NF, Former, 9000, 20, D-1, Aermotor, 1932, 
Signal Hill, Grand Canyon NP, Inactive+, 6773, 35, 7x7, Aermotor LS-40, 1929, 
Signal Peak **, Tonto NF, Active+, 7812, 59.3, 7x7, Aermotor MC-39, 1934, 
Silver Peak, Coronado NF, Former*, 7975, 3, L-4 house, Forest Service, 1938, 
