New Mexico Lookouts Total known Sites - 93 Last Update - 2/13/2006, 
Lookout Name, NF/Area, Status, Elev, Height, Type, Manufacturer, Con Year, 
Oscura Peak, NM State Forestry, Former, 7964, 0, 7x7, Aermotor, ?, 
Oso Ridge **, Cibola NF, Active+, 8713, 10, R-6 flat, USDA-FS CL 100-, 1965, 
Pajarita Mtn, Mescalero IR, Active, 7987, 35, 7x7, Carnegie-USA, 1939, 
Picuris, Carson NF, Active, 10801, 3, L-4 Cabin, Forest Service, 1932, 
Pine Lodge, Lincoln NF, Former, 6380, 3, Cabin, Forest Service, 1940's, 
Red Top **, Santa Fe NF, Inactive, 9059, 7, Trailer, Comm Trailer (mod), 1960's, 
Reeds Peak, Gila NF, Inactive*+, 10015, 48, 7x7, Aermotor LX-24, 1929, 
Rosilla, Santa Fe NF, Former, 9351, 20, L-4, Private/Forest, 1936, 
Ruidoso (Moon Mtn), Lincoln NF, Active*+, 6940, 31.6, 14 x 14, Aermotor MI-25, 1940, 
Sacramento **, Lincoln NF, Active, 9525, 67, R-6 flat, USDA-FS CL 100-, 1968, 
Saddle Mtn **, Gila NF, Active+, 8340, 31.6, R-6 flat, Aermotor MC-24, 1933/66, 
San Antone **, Carson NF, Former, 10809, 3, Cabin, Forest Service, 1925, 
San Mateo **, Cibola NF, Inactive+, 10139, 59.3, 7x7, Aermotor MC-40, 1934, 
Signal Peak **, Gila NF, Active, 9001, 31.6, R-6 flat, Aermotor MC-24, 1932/66, 
Silver, Mescalero IR, Semi-Active, 8315, 99.9, 7x7, Aermotor LS-40, 1966, 
South Baldy, Cibola NF, Former, 10783, 20, Crow's Nest, Forest Service, 1920's, 
Tohatchi, Navajo IR, Active+, 8838, 62, 7x7, Aermotor LS-40, 1928, 
Tohnitsha, Navajo IR, Active+, 8900, 82.6, 7x7, International Derrick, 1936, 
Tucson Mtn, Lincoln NF, Former, 8333, 0, ?, ?, ?, 
Turkey, NM State Forestry, Former, 8501, 0, ?, ?, ?, 
Wagon-Tongue, Gila NF, Former, 8756, 24, Crow's Nest, Forest Service, 1920,s?, 
Washington Pass, Navajo IR, Active+, 9365, 81, 7x7, Aermotor LS-40, 1936, 
Weed, Lincoln NF, Semi-Active*, 8003, 48, 7x7, Aermotor LX-24, 1926, 
Wells, Jicarilla IR, Active+, 8159, 60, 7x7, International Derrick, 1932, 
White Peak **, NM State Forestry, Inactive, 8799, 48, 7x7, Aermotor LS-40, 1949, 
Wirt, Jicarilla IR, Inactive, 8802, 60, 7x7, Aermotor, 1928, 
Wofford, Lincoln NF, Inactive*, 9157, 79.6, 7x7, Aermotor MC-39, 1933, 
, , , , , , , , 
Totals: Total standing active - 42 Total standing inactive - 19 Total no longer standing - 32, 
Notes: Individual Tower breakdowns will be added in the future NM Tower Research by Dave Lorenz, Key: * - National Register of Historic Places ** - Previous Tower at this site + - National Historic Lookout Register ? - Not Confirmed, 
